Attrition,EmployeeNumber,Age,Gender,MaritalStatus,Department,JobRole,MonthlyIncome,OverTime,EducationField,BusinessTravel,DistanceFromHome,JobLevel,JobInvolvement,JobSatisfaction,PerformanceRating,PercentSalaryHike,StockOptionLevel,TrainingTimesLastYear,TotalWorkingYears,NumCompaniesWorked,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1,47,50,Male,Married,Sales,Sales Representative,2683,Yes,Marketing,Travel_Rarely,3,1,2,3,3,14,0,2,3,1,3,2,0,2
0,49,35,Female,Married,Sales,Sales Representative,2014,No,Marketing,Travel_Rarely,2,1,3,4,3,13,0,3,2,1,2,2,2,2
0,51,36,Female,Married,Research & Development,Research Scientist,3419,Yes,Life Sciences,Travel_Rarely,5,1,2,1,3,14,1,3,6,9,1,1,0,0
0,52,33,Female,Married,Sales,Sales Executive,5376,No,Life Sciences,Travel_Frequently,1,2,4,1,3,19,2,3,10,2,5,3,1,3
0,53,35,Male,Divorced,Research & Development,Laboratory Technician,1951,No,Other,Travel_Rarely,4,1,3,4,3,12,1,3,1,1,1,0,0,0
0,54,27,Female,Divorced,Research & Development,Laboratory Technician,2341,No,Life Sciences,Travel_Rarely,2,1,3,1,3,13,1,6,1,1,1,0,0,0
1,55,26,Male,Single,Research & Development,Laboratory Technician,2293,No,Life Sciences,Travel_Rarely,25,1,1,3,3,12,0,2,1,1,1,0,0,1
0,56,27,Male,Single,Sales,Sales Executive,8726,No,Life Sciences,Travel_Frequently,8,3,3,3,3,15,0,0,9,1,9,8,1,7
0,57,30,Female,Single,Research & Development,Laboratory Technician,4011,No,Medical,Travel_Frequently,1,2,3,4,4,23,0,2,12,1,12,8,3,7
1,58,41,Female,Married,Research & Development,Research Director,19545,No,Technical Degree,Travel_Rarely,12,5,3,3,3,12,0,0,23,1,22,15,15,8
0,60,34,Male,Single,Sales,Sales Executive,4568,No,Marketing,Non-Travel,23,2,3,3,4,20,0,2,10,0,9,5,8,7
0,61,37,Male,Married,Research & Development,Research Scientist,3022,No,Life Sciences,Travel_Rarely,19,1,3,2,4,21,0,1,8,4,1,0,0,0
0,62,46,Male,Single,Sales,Sales Executive,5772,Yes,Marketing,Travel_Frequently,5,2,3,4,4,21,0,4,14,4,9,6,0,8
0,63,35,Male,Married,Research & Development,Laboratory Technician,2269,No,Life Sciences,Travel_Rarely,8,1,4,4,3,19,0,2,1,1,1,0,0,1
1,64,48,Male,Single,Research & Development,Laboratory Technician,5381,Yes,Life Sciences,Travel_Rarely,1,3,2,3,3,13,0,2,23,9,1,0,0,0
1,65,28,Male,Single,Research & Development,Laboratory Technician,3441,Yes,Technical Degree,Travel_Rarely,5,1,3,3,3,13,0,3,2,1,2,2,2,2
0,68,44,Female,Divorced,Sales,Sales Executive,5454,Yes,Marketing,Travel_Rarely,1,2,3,1,4,21,1,2,9,5,4,3,1,3
0,70,35,Male,Married,Research & Development,Healthcare Representative,9884,Yes,Medical,Non-Travel,11,3,2,1,3,13,1,3,10,2,4,0,2,3
0,72,26,Female,Married,Sales,Sales Executive,4157,Yes,Marketing,Travel_Rarely,23,2,2,4,3,19,1,2,5,7,2,2,0,0
0,73,33,Female,Single,Research & Development,Research Director,13458,Yes,Life Sciences,Travel_Frequently,1,3,3,4,3,12,0,1,15,1,15,14,8,12
0,74,35,Male,Married,Sales,Sales Executive,9069,No,Life Sciences,Travel_Frequently,18,3,3,1,4,22,1,3,9,1,9,8,1,8
0,75,35,Female,Married,Research & Development,Laboratory Technician,4014,Yes,Medical,Travel_Rarely,23,1,3,1,3,15,1,3,4,3,2,2,2,2
0,76,31,Male,Divorced,Research & Development,Laboratory Technician,5915,No,Life Sciences,Travel_Rarely,7,2,3,4,4,22,1,3,10,3,7,7,1,7
0,77,37,Male,Divorced,Research & Development,Manufacturing Director,5993,No,Life Sciences,Travel_Rarely,1,2,2,3,3,18,1,2,7,1,7,5,0,7
0,78,32,Male,Married,Research & Development,Manufacturing Director,6162,Yes,Medical,Travel_Rarely,1,2,3,4,4,22,1,3,9,1,9,8,7,8
0,79,38,Female,Single,Research & Development,Laboratory Technician,2406,No,Life Sciences,Travel_Frequently,29,2,3,4,3,11,0,2,10,1,10,3,9,9
0,80,50,Female,Divorced,Research & Development,Research Director,18740,Yes,Medical,Travel_Rarely,7,5,2,3,3,12,1,2,29,5,27,3,13,8
0,81,59,Female,Single,Sales,Sales Executive,7637,No,Life Sciences,Travel_Rarely,25,3,3,1,3,11,0,3,28,7,21,16,7,9
0,83,36,Female,Divorced,Research & Development,Healthcare Representative,10096,No,Technical Degree,Travel_Rarely,8,3,3,3,3,13,3,2,17,1,17,14,12,8
0,84,55,Female,Divorced,Research & Development,Manager,14756,Yes,Medical,Travel_Rarely,8,4,3,3,3,14,3,2,21,2,5,0,0,2
0,85,36,Male,Single,Research & Development,Manufacturing Director,6499,No,Life Sciences,Travel_Frequently,11,2,2,2,3,13,0,3,6,1,6,5,0,3
0,86,45,Male,Divorced,Research & Development,Research Scientist,9724,No,Life Sciences,Travel_Rarely,7,3,3,1,3,17,1,2,25,2,1,0,0,0
0,88,35,Male,Married,Research & Development,Research Scientist,2194,No,Medical,Travel_Frequently,1,1,3,1,3,13,1,2,5,4,3,2,1,2
1,90,36,Male,Married,Research & Development,Research Scientist,3388,Yes,Medical,Travel_Rarely,9,1,2,3,3,17,1,0,2,0,1,0,0,0
0,91,59,Female,Single,Sales,Sales Executive,5473,No,Life Sciences,Travel_Frequently,1,2,2,3,3,11,0,2,20,7,4,3,1,3
0,94,29,Male,Married,Research & Development,Research Scientist,2703,No,Life Sciences,Travel_Rarely,2,1,3,2,4,23,1,3,6,0,5,4,0,4
0,95,31,Male,Single,Research & Development,Research Scientist,2501,No,Medical,Travel_Rarely,1,1,3,2,3,17,0,4,1,1,1,1,1,0
0,96,32,Male,Married,Research & Development,Research Scientist,6220,No,Life Sciences,Travel_Rarely,1,2,3,2,3,17,2,3,10,1,10,4,0,9
0,97,36,Female,Married,Research & Development,Laboratory Technician,3038,No,Life Sciences,Travel_Rarely,6,1,4,4,3,12,0,3,5,3,1,0,0,0
0,98,31,Female,Single,Research & Development,Manufacturing Director,4424,No,Life Sciences,Travel_Rarely,8,2,3,4,4,23,0,2,11,1,11,7,1,8
0,100,35,Male,Single,Sales,Sales Executive,4312,No,Marketing,Travel_Rarely,1,2,2,1,3,14,0,2,16,0,15,13,2,8
0,101,45,Male,Married,Research & Development,Research Director,13245,Yes,Other,Travel_Rarely,6,3,3,1,3,14,0,3,17,4,0,0,0,0
0,102,37,Male,Single,Research & Development,Research Director,13664,No,Medical,Travel_Rarely,7,3,3,3,3,13,0,3,16,4,5,2,0,2
0,103,46,Male,Divorced,Human Resources,Human Resources,5021,Yes,Medical,Travel_Rarely,5,2,3,2,4,22,1,2,16,8,4,2,0,2
0,104,30,Male,Married,Research & Development,Laboratory Technician,5126,Yes,Life Sciences,Travel_Rarely,1,2,2,4,3,12,2,1,10,1,10,8,3,0
0,105,35,Male,Single,Research & Development,Research Scientist,2859,No,Medical,Travel_Rarely,1,1,2,3,3,18,0,3,6,1,6,4,0,4
0,106,55,Male,Married,Sales,Sales Executive,10239,No,Life Sciences,Travel_Rarely,1,3,3,4,3,14,1,4,24,3,1,0,1,0
0,107,38,Female,Divorced,Research & Development,Research Scientist,5329,Yes,Medical,Non-Travel,6,2,1,4,3,12,3,3,17,7,13,11,1,9
0,110,34,Male,Married,Research & Development,Manufacturing Director,4325,No,Medical,Travel_Rarely,1,2,3,2,3,15,0,2,5,1,5,2,1,3
0,112,56,Male,Single,Research & Development,Manufacturing Director,7260,No,Life Sciences,Travel_Rarely,7,3,1,4,3,11,0,3,37,4,6,4,0,2
0,113,23,Male,Divorced,Sales,Sales Representative,2322,No,Technical Degree,Travel_Rarely,2,1,3,1,3,13,1,3,3,3,0,0,0,0
0,116,51,Male,Married,Research & Development,Laboratory Technician,2075,No,Life Sciences,Travel_Rarely,9,1,3,4,4,23,2,4,10,3,4,2,0,3
0,117,30,Male,Married,Research & Development,Healthcare Representative,4152,No,Life Sciences,Travel_Rarely,2,2,2,4,3,19,3,3,11,1,11,10,10,8
1,118,46,Male,Single,Sales,Sales Executive,9619,No,Medical,Travel_Rarely,9,3,2,4,3,16,0,3,9,1,9,8,4,7
0,119,40,Male,Married,Research & Development,Healthcare Representative,13503,No,Life Sciences,Travel_Frequently,1,4,2,2,4,22,1,3,22,1,22,3,11,11
0,120,51,Male,Single,Sales,Sales Executive,5441,Yes,Marketing,Travel_Rarely,21,2,3,4,4,22,0,2,11,0,10,7,1,0
0,121,30,Female,Divorced,Sales,Sales Executive,5209,Yes,Medical,Travel_Rarely,4,2,2,2,3,12,3,4,11,1,11,8,2,7
0,124,46,Male,Married,Research & Development,Healthcare Representative,10673,Yes,Medical,Travel_Frequently,1,3,2,1,3,13,1,5,21,2,10,9,9,5
0,125,32,Male,Single,Sales,Sales Executive,5010,No,Medical,Travel_Rarely,6,2,3,3,3,16,0,0,12,1,11,8,5,7
0,126,54,Female,Married,Research & Development,Research Director,13549,No,Technical Degree,Travel_Rarely,2,3,3,3,3,12,1,5,16,9,4,3,0,3
0,128,24,Female,Married,Sales,Sales Executive,4999,No,Other,Travel_Rarely,3,2,3,3,4,21,1,2,4,0,3,2,0,2
0,129,28,Male,Married,Sales,Sales Executive,4221,No,Medical,Non-Travel,4,2,3,3,3,15,0,3,5,1,5,4,0,4
0,131,58,Male,Single,Sales,Sales Executive,13872,No,Medical,Travel_Rarely,10,4,3,3,3,13,0,1,38,0,37,10,1,8
0,132,44,Male,Married,Research & Development,Laboratory Technician,2042,No,Medical,Non-Travel,23,2,3,2,3,12,1,3,17,4,3,2,1,2
1,133,37,Male,Divorced,Human Resources,Human Resources,2073,Yes,Human Resources,Travel_Rarely,6,1,3,1,4,22,0,3,7,4,3,2,0,2
0,134,32,Male,Single,Research & Development,Research Scientist,2956,No,Life Sciences,Travel_Rarely,1,1,3,1,3,13,0,2,1,1,1,0,0,0
1,137,20,Female,Single,Research & Development,Laboratory Technician,2926,Yes,Life Sciences,Travel_Frequently,6,1,2,4,3,18,0,5,1,1,1,0,1,0
0,138,34,Female,Single,Research & Development,Research Scientist,4809,No,Other,Travel_Rarely,6,2,3,3,3,14,0,3,16,1,16,13,2,10
0,139,37,Male,Divorced,Research & Development,Healthcare Representative,5163,No,Life Sciences,Non-Travel,2,2,2,4,3,14,1,2,17,5,1,0,0,0
0,140,59,Female,Married,Human Resources,Manager,18844,No,Human Resources,Non-Travel,2,5,2,4,4,21,1,3,30,9,3,2,2,2
0,141,50,Female,Married,Research & Development,Research Director,18172,Yes,Life Sciences,Travel_Frequently,1,5,3,2,3,19,0,1,28,3,8,3,0,7
1,142,25,Male,Single,Sales,Sales Executive,5744,Yes,Marketing,Travel_Rarely,5,2,2,3,3,11,0,1,6,1,6,4,0,3
0,143,25,Male,Married,Research & Development,Research Scientist,2889,No,Medical,Travel_Rarely,7,1,2,4,3,11,2,2,2,1,2,2,2,1
0,144,22,Female,Single,Research & Development,Laboratory Technician,2871,No,Medical,Travel_Rarely,15,1,3,4,3,15,0,5,1,1,0,0,0,0
0,145,51,Female,Single,Research & Development,Healthcare Representative,7484,No,Medical,Travel_Frequently,1,3,2,1,4,20,0,1,23,3,13,12,12,8
1,147,34,Male,Single,Research & Development,Laboratory Technician,6074,Yes,Life Sciences,Travel_Frequently,7,2,1,3,4,24,0,3,9,1,9,7,0,6
0,148,54,Female,Single,Human Resources,Manager,17328,Yes,Human Resources,Non-Travel,26,4,4,4,3,12,0,3,23,2,5,3,4,4
0,150,24,Male,Married,Research & Development,Laboratory Technician,2774,No,Life Sciences,Travel_Rarely,18,1,3,3,3,12,1,2,6,0,5,3,1,2
0,151,34,Female,Divorced,Research & Development,Research Scientist,4505,No,Life Sciences,Travel_Rarely,6,2,2,2,3,15,1,3,12,6,1,0,0,0
0,152,37,Male,Single,Sales,Sales Executive,7428,No,Life Sciences,Travel_Rarely,3,3,3,4,3,12,0,3,12,2,5,3,1,3
0,153,34,Female,Single,Research & Development,Manager,11631,No,Medical,Travel_Rarely,5,3,2,1,3,12,0,6,14,2,11,10,5,8
0,154,36,Female,Married,Sales,Sales Executive,9738,No,Technical Degree,Travel_Frequently,11,3,3,4,3,14,1,6,10,0,9,7,2,8
0,155,36,Female,Divorced,Research & Development,Laboratory Technician,2835,No,Life Sciences,Travel_Rarely,3,1,3,4,4,22,1,2,7,5,1,0,0,0
0,158,43,Male,Married,Sales,Manager,16959,Yes,Life Sciences,Travel_Frequently,26,4,3,4,3,12,2,3,25,1,25,12,4,12
0,159,30,Male,Divorced,Research & Development,Research Scientist,2613,No,Life Sciences,Travel_Frequently,23,1,1,3,4,25,3,2,10,1,10,7,0,9
0,160,33,Male,Married,Sales,Sales Executive,6146,No,Marketing,Non-Travel,22,2,3,2,3,13,1,2,8,0,7,7,0,7
1,161,56,Female,Married,Research & Development,Research Scientist,4963,Yes,Life Sciences,Travel_Rarely,14,1,3,2,3,18,3,2,7,9,5,4,4,3
0,162,51,Male,Single,Research & Development,Research Director,19537,No,Life Sciences,Travel_Rarely,6,5,3,3,3,13,0,5,23,7,20,18,15,15
1,163,31,Male,Married,Sales,Sales Executive,6172,Yes,Life Sciences,Travel_Rarely,6,2,1,3,3,18,0,3,12,4,7,7,7,7
0,164,26,Female,Married,Research & Development,Research Scientist,2368,No,Other,Travel_Rarely,6,1,2,2,3,19,0,3,5,1,5,4,4,3
1,165,58,Female,Married,Research & Development,Healthcare Representative,10312,No,Medical,Travel_Rarely,23,3,3,4,3,12,1,3,40,1,40,10,15,6
1,167,19,Male,Single,Sales,Sales Representative,1675,Yes,Marketing,Travel_Rarely,22,1,3,3,3,19,0,2,0,1,0,0,0,0
0,169,22,Male,Married,Research & Development,Laboratory Technician,2523,No,Technical Degree,Travel_Rarely,2,1,3,4,3,14,1,2,3,0,2,1,2,1
0,170,49,Female,Married,Research & Development,Manufacturing Director,6567,No,Medical,Travel_Rarely,20,2,3,1,3,14,0,2,16,1,15,11,5,11
0,171,43,Female,Single,Research & Development,Research Scientist,4739,No,Medical,Travel_Frequently,28,1,4,3,3,12,0,2,18,4,3,2,1,2
0,174,50,Female,Single,Sales,Sales Executive,9208,No,Marketing,Travel_Frequently,12,3,3,4,3,11,0,3,16,4,2,2,2,1
1,175,31,Female,Married,Sales,Sales Executive,4559,Yes,Life Sciences,Travel_Rarely,20,2,1,3,3,11,1,2,4,3,2,2,2,2
0,176,41,Male,Divorced,Sales,Sales Executive,8189,Yes,Life Sciences,Travel_Rarely,9,3,3,3,3,13,1,2,12,3,9,7,0,7
0,177,26,Female,Married,Human Resources,Human Resources,2942,No,Life Sciences,Travel_Rarely,25,1,3,3,4,23,1,3,8,1,8,7,5,7
0,178,36,Male,Divorced,Research & Development,Manufacturing Director,4941,No,Medical,Travel_Rarely,6,2,3,2,4,20,2,0,7,6,3,2,0,1
1,179,51,Male,Single,Research & Development,Manufacturing Director,10650,No,Life Sciences,Travel_Frequently,8,3,1,4,3,15,0,2,18,2,4,2,0,3
0,182,39,Female,Married,Sales,Sales Executive,5902,No,Life Sciences,Travel_Rarely,4,2,2,3,3,14,1,1,17,4,15,11,5,9
0,183,25,Male,Married,Sales,Sales Executive,8639,No,Life Sciences,Travel_Rarely,28,2,2,3,3,18,0,3,6,2,2,2,2,2
0,184,30,Male,Married,Human Resources,Human Resources,6347,Yes,Human Resources,Travel_Rarely,9,2,3,4,3,19,0,2,12,0,11,9,4,7
1,190,32,Female,Single,Research & Development,Laboratory Technician,4200,No,Medical,Travel_Rarely,9,1,3,1,4,22,0,2,10,7,5,4,0,4
0,192,45,Male,Single,Research & Development,Research Scientist,3452,No,Medical,Travel_Rarely,29,1,3,4,3,13,0,2,9,5,6,5,0,3
0,193,38,Female,Single,Research & Development,Research Scientist,4317,Yes,Technical Degree,Travel_Rarely,3,2,3,3,4,20,0,2,19,3,3,2,2,2
0,194,30,Female,Single,Research & Development,Research Scientist,2632,No,Life Sciences,Travel_Rarely,18,1,3,3,3,14,0,4,5,1,5,4,0,4
0,195,32,Male,Divorced,Sales,Sales Executive,4668,No,Medical,Travel_Frequently,9,2,1,4,3,17,3,2,9,0,8,7,0,7
0,197,30,Female,Divorced,Research & Development,Research Scientist,3204,No,Technical Degree,Travel_Rarely,5,1,3,1,3,14,1,3,8,5,3,2,2,2
0,198,30,Male,Single,Research & Development,Laboratory Technician,2720,No,Medical,Travel_Rarely,2,1,2,4,3,13,0,3,6,0,5,3,1,2
0,199,41,Male,Divorced,Research & Development,Manager,17181,No,Life Sciences,Travel_Frequently,10,4,2,1,3,13,1,2,21,4,7,6,7,7
0,200,41,Male,Married,Research & Development,Laboratory Technician,2238,No,Life Sciences,Travel_Rarely,9,1,3,1,4,21,1,2,7,2,5,0,1,4
0,201,19,Female,Single,Research & Development,Laboratory Technician,1483,No,Medical,Travel_Rarely,3,1,3,2,3,14,0,3,1,1,1,0,0,0
0,202,40,Female,Divorced,Research & Development,Research Scientist,5605,No,Medical,Travel_Frequently,26,2,3,2,3,11,1,2,20,1,20,7,2,13
0,204,35,Male,Married,Sales,Sales Executive,7295,No,Marketing,Travel_Rarely,1,3,3,2,3,13,2,3,10,1,10,8,0,6
0,205,53,Male,Married,Sales,Sales Representative,2306,Yes,Marketing,Travel_Rarely,6,2,3,3,4,20,1,3,13,2,7,7,4,5
0,206,45,Male,Divorced,Research & Development,Laboratory Technician,2348,No,Life Sciences,Travel_Rarely,9,2,3,2,3,18,1,2,20,8,17,9,0,15
0,207,32,Female,Single,Sales,Sales Executive,8998,No,Marketing,Travel_Frequently,8,3,3,4,3,14,0,2,9,1,9,8,3,7
0,208,29,Male,Married,Research & Development,Manufacturing Director,4319,No,Technical Degree,Non-Travel,1,2,3,3,3,13,1,1,10,1,10,7,0,9
0,211,51,Male,Married,Research & Development,Manufacturing Director,6132,No,Medical,Travel_Rarely,7,2,2,3,3,17,0,2,10,2,1,0,0,0
0,214,58,Female,Married,Research & Development,Research Scientist,3346,Yes,Medical,Travel_Rarely,9,1,2,2,4,20,1,3,9,4,1,0,0,0
0,215,40,Male,Married,Sales,Sales Executive,10855,No,Marketing,Travel_Rarely,4,3,2,4,3,11,1,2,15,7,12,11,2,11
0,216,34,Female,Married,Sales,Sales Representative,2231,No,Marketing,Travel_Frequently,2,1,3,3,3,18,1,3,6,6,4,3,1,2
0,217,22,Male,Married,Research & Development,Research Scientist,2323,No,Medical,Travel_Rarely,19,1,3,4,4,24,2,6,2,1,2,2,2,2
0,218,27,Male,Divorced,Research & Development,Research Scientist,2024,No,Medical,Non-Travel,9,1,3,2,3,18,1,1,6,6,2,2,2,2
0,221,28,Male,Married,Research & Development,Research Scientist,2713,No,Medical,Travel_Rarely,21,1,3,4,3,11,1,2,5,1,5,2,0,2
0,223,57,Male,Divorced,Research & Development,Healthcare Representative,9439,Yes,Life Sciences,Travel_Rarely,24,3,4,4,3,16,1,2,12,3,5,3,1,4
0,224,27,Male,Divorced,Research & Development,Research Scientist,2566,Yes,Medical,Non-Travel,3,1,2,3,3,15,1,2,1,1,1,1,0,1
0,226,50,Female,Single,Research & Development,Manager,19926,No,Life Sciences,Travel_Rarely,11,5,3,2,3,15,0,5,21,3,5,4,4,4
0,227,41,Male,Divorced,Research & Development,Research Scientist,2451,No,Life Sciences,Travel_Rarely,14,1,3,3,3,12,1,2,13,4,9,8,1,8
0,228,30,Female,Married,Sales,Sales Executive,9419,No,Life Sciences,Travel_Rarely,5,3,3,4,3,12,1,2,12,2,10,9,7,4
0,230,38,Female,Single,Sales,Sales Executive,8686,No,Life Sciences,Travel_Rarely,1,2,2,4,4,22,0,2,12,4,8,3,0,7
0,231,32,Male,Single,Research & Development,Research Scientist,3038,No,Life Sciences,Travel_Rarely,6,1,3,3,4,20,0,2,8,3,5,4,1,4
0,233,27,Male,Married,Research & Development,Research Scientist,3058,Yes,Technical Degree,Travel_Rarely,17,1,3,2,3,16,1,3,6,0,5,2,1,1
1,235,19,Female,Single,Sales,Sales Representative,2325,No,Technical Degree,Travel_Frequently,1,1,1,1,4,21,0,5,1,0,0,0,0,0
0,238,36,Male,Single,Research & Development,Laboratory Technician,2088,No,Medical,Travel_Frequently,3,1,3,2,3,12,0,3,13,4,8,7,7,2
0,239,30,Male,Divorced,Research & Development,Laboratory Technician,3072,No,Medical,Non-Travel,9,2,3,1,3,11,2,4,12,1,12,9,6,10
0,240,45,Female,Divorced,Sales,Sales Executive,5006,Yes,Life Sciences,Travel_Rarely,4,2,3,1,3,11,1,3,9,4,5,4,0,3
0,241,56,Female,Divorced,Research & Development,Research Scientist,4257,Yes,Life Sciences,Travel_Rarely,8,1,3,1,3,18,1,3,19,4,2,2,2,2
0,242,33,Male,Single,Research & Development,Research Scientist,2500,No,Life Sciences,Travel_Rarely,2,1,3,4,3,14,0,2,4,0,3,1,0,2
1,243,19,Male,Single,Research & Development,Laboratory Technician,1102,No,Life Sciences,Travel_Rarely,2,1,2,4,4,22,0,3,1,1,1,0,1,0
0,244,46,Female,Divorced,Sales,Sales Executive,10453,No,Marketing,Travel_Rarely,1,3,3,1,4,25,3,2,24,1,24,13,15,7
0,245,38,Female,Single,Research & Development,Laboratory Technician,2288,No,Life Sciences,Travel_Rarely,9,1,3,4,3,12,0,3,2,1,2,2,2,1
0,246,31,Female,Married,Research & Development,Research Scientist,3929,Yes,Medical,Travel_Rarely,12,1,3,4,4,23,1,0,7,8,4,2,0,2
0,247,34,Female,Single,Research & Development,Research Scientist,2311,No,Medical,Travel_Rarely,27,1,3,2,3,15,0,3,9,2,3,2,1,2
1,248,41,Female,Single,Sales,Sales Representative,3140,Yes,Marketing,Travel_Rarely,20,1,3,2,4,22,0,5,4,1,4,3,0,2
0,249,50,Male,Married,Research & Development,Laboratory Technician,3690,No,Medical,Travel_Rarely,1,1,2,3,3,15,1,2,5,2,3,2,0,2
0,250,53,Female,Divorced,Research & Development,Manufacturing Director,4450,No,Medical,Travel_Rarely,13,2,4,1,3,11,2,3,5,1,4,2,1,3
